identificador,titulo,resumen,etiquetas,creado,modificado,oculto
sesiones,Sesiones,Sesiones del Poder Judicial del Estado de Coahuila de Zaragoza,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-consejo-de-la-judicatura,Sesiones del Consejo de la Judicatura,Sesiones del Consejo de la Judicatura,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-votos-particulares,Votos Particulares del Pleno,Votos Particulares del Pleno del Tribunal Superior de Justicia,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-votos-disidentes,Votos Disidentes del Pleno,Votos Disidentes del Pleno del Tribunal Superior de Justicia,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-pleno-del-tribunal-superior-de-justicia,Sesiones del Pleno del Tribunal Superior de Justicia,Sesiones del Pleno del Tribunal Superior de Justicia,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-pleno-del-tribunal-superior-de-justicia-2019,Sesiones del Pleno del Tribunal Superior de Justicia en 2019,Sesiones del Pleno del Tribunal Superior de Justicia en 2019,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-pleno-del-tribunal-superior-de-justicia-2020,Sesiones del Pleno del Tribunal Superior de Justicia en 2020,Sesiones del Pleno del Tribunal Superior de Justicia en 2020,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-pleno-del-tribunal-superior-de-justicia-2019-cuadragesima-primera-sesion-ordinaria,Cuadragésima Primera Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 06 de noviembre de 2019",Sesiones,2019-11-06 15:00:00,2019-11-06 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2019-cuadragesima-tercera-sesion-ordinaria,Cuadragésima Tercera Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 21 de noviembre 2019",Sesiones,2019-11-21 15:00:00,2019-11-21 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2019-cuadragesima-cuarta-sesion-ordinaria,Cuadragésima Cuarta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 27 de noviembre 2019",Sesiones,2019-11-27 15:00:00,2019-11-27 15:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2019-cuadragesima-quinta-sesion-ordinaria,Cuadragésima Quinta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 04 de diciembre 2019",Sesiones,2019-12-04 15:00:00,2019-12-04 15:00:00,0
