rama,ordinal,pagina,titulo,resumen,etiquetas,creado,modificado,filtro,oculto
articulo-18,0,articulo-18,Artículo 18,"Transparencia, Artículo 18",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-20,0,articulo-20,Artículo 20,"Transparencia, Artículo 20",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,0,articulo-21,Artículo 21,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,1,f01-estructura-organica,Estructura Orgánica,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,2,f02-marco-normativo,Marco Normativo,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,3,f03-directorio,Directorio de Servidores Públicos,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,2020-V4,0
articulo-21,4,f04-nombramientos-comisiones-licencias,"Nombramientos, Comisiones y Licencias","Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,5,f05-remuneracion-mensual-puesto,Remuneración Mensual por Puesto,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,6,f06-declaracion-patrimonial,Declaración Patrimonial,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,7,f07-viaticos-gastos-representacion,Viáticos y Gastos de Representación,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,8,f08-perfil-puestos-curriculum-vitae,Perfil de Puestos y Currículum Vitae,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,9,f09-convenios-colaboracion-contratos,Convenios de Colaboración y Contratos,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,10,f10-condiciones-generales-trabajo,Condiciones Generales de Trabajo,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,11,f11-planes-programas-proyectos-indicadores-gestion,"Planes, Programas o Proyectos con Indicadores de Gestión","Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,12,f12-servicios-tramites,Servicios y Trámites,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,13,f13-mecanismo-solicitudes-opiniones-quejas-denuncias-sugerencias,"Mecanismo de Solicitudes, Opiniones, Quejas, Denuncias o Sugerencias","Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,14,f14-mecanismo-participacion-ciudadana,Mecanismo de Participación Ciudadana,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,15,f15-programas-subsidio,Programas de Subsidio,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,16,f16-beneficiarios-programas-subsidio,Beneficiarios de los Programas de Subsidio,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,17,f17-padron-beneficiarios-programas-sociales,Padrón de Beneficiarios de Programas Sociales,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,18,f18-listado-personas-reciben-recursos-publicos,Listado de Personas que Reciben Recursos Públicos,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,19,f19-instituciones-beneficencia,Instituciones de Beneficiencia,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,20,f20-presupuesto-asignado,Presupuesto Asignado,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,21,f21-calendarizacion-reuniones-publicas,Calendariación de Reuniones Públicas,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,22,f22-unidad-transparencia,Unidad de Transparencia,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,23,f23-catalogos-documentales-archivos,Catálogos Documentales de Archivos,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,2020-V4,0
articulo-21,24,f24-solicitudes-informacion-respuestas,Solicitudes de Información y Respuestas,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,25,f25-balances-estados-financieros,Balances y Estados Financieros,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,26,f26-deuda-publica,Deuda Pública,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,27,f27-auditorias-practicadas-concluidas,Auditorías Practicadas y Concluídas,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,28,f28-padron-proveedores,Padrón de Provedores,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,29,f29-inspectores-visitadores,Inspectores y Visitadores,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,30,f30-convocatorias-concurso-licitaciones,"Los resultados sobre procedimientos de adjudicación directa, invitación restringida y licitación","Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,31,f31-agenda-mensual,Agenda Mensual,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,32,f32-actas-entrega-recepcion,Actas de Entrega-Recepción,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
articulo-21,33,f33-georreferenciacion-obras-publicas,Georreferenciación de Obras Públicas,"Transparencia, Artículo 21",Transparencia,2020-04-30 09:30:00,2020-04-30 09:30:00,,0
