rama,ordinal,pagina,titulo,resumen,etiquetas
articulo-18,0,articulo-18,Artículo 18,"Transparencia TCA, Artículo 18",Transparencia TCA
articulo-20,0,articulo-20,Artículo 20,"Transparencia TCA, Artículo 20",Transparencia TCA
articulo-21,0,articulo-21,Artículo 21,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,1,f01-estructura-organica,Estructura Orgánica,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,2,f02-marco-normativo,Marco Normativo,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,3,f03-directorio,Directorio de Servidores Públicos,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,4,f04-nombramientos-comisiones-licencias,"Nombramientos, Comisiones y Licencias","Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,5,f05-remuneracion-mensual-puesto,Remuneración Mensual por Puesto,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,6,f06-declaracion-patrimonial,Declaración Patrimonial,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,7,f07-viaticos-gastos-representacion,Viáticos y Gastos de Representación,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,8,f08-perfil-puestos-curriculum-vitae,Perfil de Puestos y Currículum Vitae,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,9,f09-convenios-colaboracion-contratos,Convenios de Colaboración y Contratos,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,10,f10-condiciones-generales-trabajo,Condiciones Generales de Trabajo,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,11,f11-planes-programas-proyectos-indicadores-gestion,"Planes, Programas o Proyectos con Indicadores de Gestión","Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,12,f12-servicios-tramites,Servicios y Trámites,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,13,f13-mecanismo-solicitudes-opiniones-quejas-denuncias-sugerencias,"Mecanismo de Solicitudes, Opiniones, Quejas, Denuncias o Sugerencias","Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,14,f14-mecanismo-participacion-ciudadana,Mecanismo de Participación Ciudadana,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,15,f15-programas-subsidio,Programas de Subsidio,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,16,f16-beneficiarios-programas-subsidio,Beneficiarios de los Programas de Subsidio,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,17,f17-padron-beneficiarios-programas-sociales,Padrón de Beneficiarios de Programas Sociales,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,18,f18-listado-personas-reciben-recursos-publicos,Listado de Personas que Reciben Recursos Públicos,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,19,f19-instituciones-beneficencia,Instituciones de Beneficiencia,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,20,f20-presupuesto-asignado,Presupuesto Asignado,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,21,f21-calendarizacion-reuniones-publicas,Calendariación de Reuniones Públicas,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,22,f22-unidad-transparencia,Unidad de Transparencia,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,23,f23-catalogos-documentales-archivos,Catálogos Documentales de Archivos,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,24,f24-solicitudes-informacion-respuestas,Solicitudes de Información y Respuestas,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,25,f25-balances-estados-financieros,Balances y Estados Financieros,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,26,f26-deuda-publica,Deuda Pública,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,27,f27-auditorias-practicadas-concluidas,Auditorías Practicadas y Concluídas,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,28,f28-padron-proveedores,Padrón de Provedores,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,29,f29-inspectores-visitadores,Inspectores y Visitadores,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,30,f30-convocatorias-concurso-licitaciones,"Los resultados sobre procedimientos de adjudicación directa, invitación restringida y licitación","Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,31,f31-agenda-mensual,Agenda Mensual,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,32,f32-actas-entrega-recepcion,Actas de Entrega-Recepción,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,33,f33-georreferenciacion-obras-publicas,Georreferenciación de Obras Públicas,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,34,f34-indices-informacion-reservada,Índices de Información Reservada,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,35,f35-guia-simple-archivos,Guía Simple de Archivos,"Transparencia TCA, Artículo 21",Transparencia TCA
articulo-21,36,f36-concesiones-licencias-permisos-autorizaciones,"Concesiones, Licencias, Permisos y Autorizaciones","Transparencia TCA, Artículo 21",Transparencia TCA
